,Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
10,2022-07-21,"Ice Cream, Vanilla or Other Flavors, Includes Chocolate Chip",100.00 g,207.0,0.0,0.0,61.0,0.04,0.24,0.12,0.58,0.05,0.39,5.0,117.58,0.6,8.0,0.3,1.5,128.0,0.02,0.09,14.0,0.01,105.0,199.0,1.8,80.0,0.69,23.6,0.7,0.0,21.22,22.89,11.0,44.0,2.97,0.45,6.79,0.41,0.18,0.13,0.03,0.09,0.2,0.32,0.26,0.08,0.16,3.5,0.15,0.05,0.16,0.22,Dairy and Egg Products
11,2022-07-21,"Doritos, Tortilla Chips, Nacho Cheese",1.00 oz,140.68,0.0,0.0,2.26,0.08,0.05,0.79,0.11,0.13,0.0,4.56,7.35,0.58,0.06,1.84,2.12,4.16,0.07,0.58,27.01,0.11,45.66,68.7,4.56,210.24,0.47,16.08,1.58,14.05,0.37,14.5,7.96,0.25,2.82,3.86,0.89,0.03,0.25,3.6,0.04,0.06,0.07,0.24,0.06,0.04,0.1,2.05,0.08,0.02,0.08,0.1,Snacks
12,2022-07-21,Pulled Pork in Barbecue Sauce,1.00 cup,418.32,,,151.87,0.41,0.32,7.55,2.03,0.62,1.02,4.98,32.37,0.5,19.92,2.22,3.49,109.56,0.24,3.09,54.78,0.22,400.89,759.45,68.72,1658.34,4.61,46.66,2.99,5.83,37.85,43.67,11.01,87.15,4.51,1.88,3.53,0.05,0.1,1.62,,,,,,,,32.84,,,,,"Meals, Entrees, and Sidedishes"
13,2022-07-21,Grilled Cheese Sandwich,1.00 sandwich,380.52,0.0,0.0,41.45,0.31,0.24,2.71,0.47,0.6,2.14,99.26,253.85,0.01,126.43,1.24,15.85,522.48,0.08,2.29,24.08,0.32,326.34,130.2,20.8,1085.14,1.46,29.7,1.51,20.82,4.15,28.17,24.1,42.0,5.35,5.33,10.31,0.5,0.62,4.37,0.13,0.33,0.55,1.02,0.77,0.27,0.61,12.58,0.46,0.15,0.51,0.68,"Meals, Entrees, and Sidedishes"
14,2022-07-21,"Whey Protein Powder, 24 Grams of Protein per Scoop",100.00 g,373.27,0.0,0.0,3.64,0.12,0.4,0.23,1.1,0.12,0.48,7.39,28.66,0.17,0.0,0.13,2.97,447.01,0.02,0.4,52.97,0.01,332.36,514.75,8.9,322.37,2.1,6.04,0.0,0.0,6.04,6.04,2.49,5.02,0.42,0.76,0.79,0.0,0.09,0.64,1.39,1.51,3.82,7.34,6.63,1.45,2.54,77.08,3.88,1.58,1.97,3.81,Supplements
15,2022-07-22,"Quaker, Overnight Oats, Unsweetened with Chia Seeds",1.00 package,190.0,,,,,,,,,,,0.0,,0.0,,,50.0,,2.0,,,,210.0,,5.0,,32.0,6.0,,0.5,26.0,5.0,0.0,,,1.0,0.0,,,,,,,,,,6.0,,,,,Cereal Grains and Pasta
16,2022-07-22,"Mango, Fresh",1.00 each,201.6,0.0,0.0,280.43,0.09,0.13,2.25,0.66,0.4,0.0,144.48,181.86,122.3,0.0,3.02,14.11,36.96,0.37,0.54,33.6,0.21,47.04,564.48,2.02,3.36,0.3,50.33,5.38,0.77,45.9,44.42,1.28,0.0,0.47,0.24,0.31,0.0,0.17,0.06,0.0,0.06,0.1,0.17,0.22,0.03,0.09,2.76,0.1,0.04,0.05,0.14,Fruits and Fruit Juices
17,2022-07-22,"Green Beans, Cooked from Fresh",100.00 g,35.0,0.0,0.0,89.22,0.07,0.1,0.61,0.07,0.06,0.0,33.0,31.67,9.7,0.0,0.46,47.9,44.0,0.06,0.65,18.0,0.29,29.0,146.0,0.2,1.0,0.25,7.88,3.2,1.16,3.63,4.63,0.28,0.0,0.01,0.15,0.06,0.0,0.09,0.0,0.02,0.04,0.07,0.12,0.09,0.02,0.07,1.89,0.08,0.02,0.04,0.09,Vegetables and Vegetable Products
18,2022-07-22,"White Rice, Steamed",100.00 g,130.0,0.0,0.0,68.44,0.16,0.01,1.48,0.39,0.09,0.0,42.8,0.0,0.0,0.0,0.04,0.0,10.0,0.07,1.2,12.0,0.47,43.0,35.0,7.5,1.0,0.49,28.17,0.34,23.0,0.03,27.81,0.28,0.0,0.09,0.08,0.08,0.0,0.01,0.06,0.06,0.06,0.12,0.22,0.1,0.06,0.14,2.69,0.1,0.03,0.09,0.16,Cereal Grains and Pasta
19,2022-07-22,Potato Patties,"5.00 patty - 3"" to 3 1/2"" diameter",570.44,0.0,0.0,276.43,0.31,0.26,3.74,1.88,1.38,2.13,46.66,198.55,22.87,36.16,1.6,70.25,82.45,0.48,1.45,64.35,0.43,188.83,1021.85,10.0,843.29,1.22,57.85,6.12,43.37,4.48,51.7,35.23,104.2,14.69,8.32,9.34,4.72,0.66,5.89,0.15,0.22,0.44,0.68,0.62,0.21,0.45,9.32,0.39,0.13,0.37,0.55,Vegetables and Vegetable Products
20,2022-07-22,"Lemonade, Homemade",1.00 cup,110.17,0.0,0.0,233.88,0.01,0.01,0.05,0.08,0.03,0.0,12.2,0.15,23.61,0.0,0.09,0.0,9.24,0.03,0.06,5.44,0.01,4.88,63.33,0.21,7.97,0.05,29.2,0.18,0.0,26.49,29.0,0.15,0.0,0.0,0.01,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.21,0.0,0.0,0.0,0.01,Fruits and Fruit Juices
21,2022-07-22,"Subway, Veggie Delite Sandwich, No Mayo","2.00 each - 6"" sub",534.0,0.0,0.0,230.18,0.66,0.48,8.63,1.47,0.33,0.33,198.2,179.33,28.06,66.23,1.21,96.67,444.92,0.32,6.15,92.08,1.78,369.84,618.6,45.68,1061.58,2.38,76.01,8.09,51.85,12.76,67.73,5.0,22.0,2.71,2.71,5.02,0.3,0.31,2.24,0.22,0.33,0.57,1.0,0.66,0.25,0.65,20.99,0.47,0.18,0.43,0.69,Fast Foods
22,2022-07-22,"Arby's, Biscuit with Sausage Gravy",1.00 each,480.63,0.0,0.0,167.27,0.4,0.26,3.63,0.35,0.05,0.2,86.88,5.72,0.0,10.65,1.97,10.06,28.39,0.09,2.36,14.37,0.31,117.75,105.07,22.3,1769.61,0.72,48.59,1.3,41.32,5.96,47.28,28.1,20.54,8.58,5.31,12.35,0.12,0.38,4.75,0.15,0.22,0.32,0.62,0.37,0.17,0.38,8.74,0.26,0.1,0.26,0.38,Fast Foods
23,2022-07-23,"Yam, Cooked, Boiled, Drained, or Baked, with Salt",300.00 g,342.0,,,210.39,0.28,0.08,1.66,0.93,0.68,,48.0,18.0,36.3,,1.02,6.9,42.0,0.46,1.56,54.0,1.11,147.0,2010.0,2.1,732.0,0.6,80.97,11.7,67.8,1.47,69.27,0.42,,0.01,0.18,0.09,,0.03,0.15,0.05,0.1,0.15,0.28,0.17,0.06,0.21,4.47,0.16,0.04,0.12,0.18,Vegetables and Vegetable Products
24,2022-07-23,"Quaker, Overnight Oats, Unsweetened with Chia Seeds",1.00 package,190.0,,,,,,,,,,,0.0,,0.0,,,50.0,,2.0,,,,210.0,,5.0,,32.0,6.0,,0.5,26.0,5.0,0.0,,,1.0,0.0,,,,,,,,,,6.0,,,,,Cereal Grains and Pasta
25,2022-07-23,"Chipotle, Chicken",1.00 order,188.58,0.0,0.0,75.27,0.07,0.12,12.85,1.01,0.64,0.35,6.22,11.35,1.96,5.17,0.63,1.06,16.17,0.06,1.13,28.83,0.03,224.08,265.66,25.25,309.99,1.28,0.31,0.15,0.0,0.13,0.13,5.68,87.55,1.98,1.38,1.51,0.09,0.12,1.19,0.41,0.99,1.68,2.39,2.71,0.88,1.26,31.91,1.35,0.37,1.08,1.58,Fast Foods
26,2022-07-23,"Chipotle, Cheese",1.00 order,105.75,0.0,0.0,11.63,0.0,0.11,0.03,0.06,0.02,0.24,5.1,56.27,0.0,6.24,0.07,0.71,211.5,0.01,0.2,7.66,0.0,125.87,22.97,4.11,190.25,0.85,0.19,0.0,0.0,0.14,0.19,8.58,25.23,2.48,0.25,5.41,0.21,0.07,0.06,0.03,0.24,0.43,0.66,0.58,0.18,0.37,6.94,0.25,0.09,0.34,0.46,Fast Foods
27,2022-07-23,"Chipotle, Black Beans","1.00 cup, whole pieces",196.16,0.0,0.0,122.04,0.34,0.09,0.79,0.36,0.14,0.0,202.23,4.45,4.93,0.0,1.7,5.58,40.07,0.3,2.87,95.82,0.62,191.26,512.04,1.82,318.62,1.53,33.46,11.89,12.01,1.71,21.47,2.32,0.0,0.66,0.87,0.49,0.0,0.17,0.7,0.13,0.33,0.52,0.94,0.81,0.18,0.64,11.95,0.5,0.14,0.34,0.62,Fast Foods
28,2022-07-23,"Chipotle, Fajita Vegetables",1.00 order,19.64,0.0,0.0,64.4,0.03,0.02,0.24,0.05,0.13,0.0,9.6,10.55,34.31,0.0,0.23,4.49,7.84,0.04,0.25,6.3,0.08,13.7,101.29,0.23,149.88,0.09,4.64,0.76,0.17,2.19,3.82,0.12,0.0,0.01,0.06,0.02,0.0,0.0,0.0,0.01,0.01,0.02,0.03,0.03,0.01,0.02,0.63,0.02,0.01,0.01,0.02,Fast Foods
29,2022-07-23,"Chipotle, Brown Rice",1.00 order,200.72,0.0,0.0,70.15,0.23,0.09,3.29,0.49,0.16,0.0,12.61,3.45,0.89,0.0,1.8,4.56,5.27,0.14,0.75,50.44,1.25,132.45,120.48,7.89,190.09,0.92,33.04,2.1,31.63,0.44,30.9,6.05,0.0,2.36,2.15,1.28,0.0,0.09,2.06,0.04,0.08,0.14,0.27,0.13,0.07,0.17,3.54,0.12,0.04,0.12,0.19,Fast Foods
30,2022-07-23,"Chipotle, Sour Cream",1.00 order,112.26,0.0,0.0,41.43,0.01,0.1,0.05,0.27,0.02,0.12,3.4,69.81,0.51,0.0,0.22,0.85,57.27,0.01,0.04,5.67,0.01,43.09,70.87,2.1,17.58,0.19,2.63,0.0,0.0,1.93,2.58,10.97,33.45,2.6,0.45,5.75,0.5,0.05,0.25,0.02,0.05,0.09,0.18,0.16,0.04,0.09,1.38,0.08,0.02,0.09,0.11,Fast Foods
31,2022-07-23,"Chipotle, Red Tomatillo Salsa, Hot",1.00 order,29.62,0.0,0.0,47.0,0.04,0.04,1.5,0.12,0.09,0.0,7.37,47.33,10.04,0.0,0.88,9.03,8.68,0.07,0.64,17.55,0.15,33.91,234.52,0.54,499.83,0.21,5.37,1.94,0.0,3.04,3.42,1.09,0.0,0.17,0.47,0.17,0.0,0.02,0.16,0.01,0.01,0.02,0.03,0.02,0.01,0.02,0.94,0.02,0.01,0.01,0.02,Fast Foods
32,2022-07-23,"Whole Wheat Bread, Store Bought",2.00 medium slice,181.44,0.0,0.0,28.09,0.28,0.12,3.2,0.47,0.15,0.0,30.24,0.12,0.0,0.0,1.92,5.62,115.92,0.16,1.78,54.0,1.57,152.64,182.88,18.5,327.6,1.27,30.75,4.32,20.69,3.12,26.33,2.52,0.0,0.45,1.15,0.52,0.01,0.1,1.04,0.1,0.1,0.16,0.29,0.12,0.07,0.2,8.96,0.12,0.07,0.13,0.2,Baked Products
33,2022-07-23,"Banana, Fresh","2.00 medium - 7"" to 7 7/8"" long",210.04,0.0,0.0,176.79,0.07,0.17,1.57,0.79,0.87,0.0,47.2,7.57,20.53,0.0,0.31,1.18,11.8,0.18,0.61,63.72,0.64,51.92,844.88,2.36,2.36,0.35,53.9,6.14,12.7,28.86,47.75,0.78,0.0,0.08,0.17,0.26,0.0,0.06,0.11,0.02,0.18,0.07,0.16,0.12,0.02,0.12,2.57,0.07,0.02,0.02,0.11,Fruits and Fruit Juices
34,2022-07-23,"Lasagna, Homemade, Beef",100.00 g,160.89,0.0,0.0,81.24,0.21,0.17,1.42,0.26,0.13,0.66,44.58,55.39,4.14,4.96,0.55,5.27,153.49,0.09,1.17,20.53,0.17,152.19,208.39,17.06,322.02,1.74,12.72,1.28,7.33,1.9,11.43,7.52,25.31,2.49,0.41,3.68,0.28,0.06,0.23,0.11,0.32,0.49,0.89,0.74,0.23,0.48,10.55,0.45,0.15,0.41,0.56,"Meals, Entrees, and Sidedishes"
35,2022-07-24,"Vegetable Soup, Plain, Homemade",1.00 cup,97.24,0.0,0.0,234.0,0.26,0.1,1.42,0.62,0.29,0.0,53.19,138.93,35.05,0.0,0.96,59.42,57.83,0.16,1.05,36.0,0.35,78.24,475.07,1.82,190.42,0.55,19.24,4.29,8.29,5.14,14.82,1.72,0.0,0.35,0.92,0.28,0.01,0.16,0.66,0.04,0.07,0.12,0.18,0.17,0.04,0.12,3.12,0.12,0.04,0.08,0.15,"Soups, Sauces, and Gravies"
36,2022-07-24,"Chicken Fillet Sandwich, Grilled, with Mayo",2.00 sandwich,763.61,0.0,0.0,147.81,0.84,0.58,24.32,2.24,0.99,0.8,185.08,56.6,1.77,8.76,1.37,36.86,220.05,0.23,6.3,71.97,0.72,465.21,540.17,74.01,1291.34,2.87,68.27,2.45,49.91,10.0,65.77,25.81,135.2,6.41,12.08,5.2,0.21,1.37,10.57,0.85,1.7,2.93,4.34,4.28,1.5,2.44,59.83,2.33,0.68,1.92,2.84,"Meals, Entrees, and Sidedishes"
37,2022-07-24,"French Fries, Cooked from Fresh",100.00 g,195.49,0.0,0.0,65.13,0.07,0.03,1.22,0.4,0.27,0.0,16.03,0.22,9.71,0.0,1.1,24.9,8.75,0.14,0.63,22.97,0.17,51.99,401.24,6.26,140.84,0.28,18.5,1.6,15.0,1.25,16.9,13.1,0.0,2.96,7.55,2.06,0.07,0.89,6.55,0.02,0.04,0.07,0.1,0.11,0.03,0.08,1.93,0.07,0.02,0.06,0.1,Vegetables and Vegetable Products
38,2022-07-24,"Apple, Fresh, With Skin","2.00 medium - 3"" diameter",189.28,0.0,0.0,311.44,0.06,0.09,0.33,0.22,0.15,0.0,10.92,9.86,16.74,0.0,0.76,8.01,21.84,0.1,0.44,18.2,0.13,40.04,389.48,0.0,3.64,0.15,50.27,8.74,0.18,37.82,38.59,0.62,0.0,0.03,0.19,0.1,0.0,0.03,0.16,0.0,0.02,0.02,0.05,0.04,0.0,0.02,0.95,0.02,0.0,0.0,0.04,Fruits and Fruit Juices
39,2022-07-24,"Greek Yogurt, Plain, Nonfat",2.00 cup,289.11,0.0,0.0,417.0,0.11,1.36,1.02,1.62,0.31,3.68,34.3,4.9,0.0,0.0,0.05,0.0,539.01,0.08,0.34,53.9,0.04,661.51,690.91,47.53,176.4,2.55,17.64,0.0,0.0,15.88,17.49,1.91,24.5,0.26,0.06,0.57,0.03,0.0,0.05,0.76,1.1,2.5,4.74,4.26,1.02,1.87,49.93,2.42,0.94,1.57,2.66,Dairy and Egg Products
40,2022-07-24,"Subway, Veggie Delite Sandwich, No Mayo","2.00 each - 6"" sub",534.0,0.0,0.0,230.18,0.66,0.48,8.63,1.47,0.33,0.33,198.2,179.33,28.06,66.23,1.21,96.67,444.92,0.32,6.15,92.08,1.78,369.84,618.6,45.68,1061.58,2.38,76.01,8.09,51.85,12.76,67.73,5.0,22.0,2.71,2.71,5.02,0.3,0.31,2.24,0.22,0.33,0.57,1.0,0.66,0.25,0.65,20.99,0.47,0.18,0.43,0.69,Fast Foods
41,2022-07-25,"Sushi, with Fish",12.00 piece,468.7,0.0,0.0,307.52,0.4,0.4,13.32,2.07,0.73,13.72,5.42,952.93,0.0,330.29,1.55,0.0,18.45,0.25,1.85,85.5,0.69,390.3,392.39,67.27,1277.96,1.91,56.22,2.51,50.33,3.37,53.69,7.61,55.28,2.5,2.26,1.93,0.11,1.95,0.25,0.47,1.12,1.78,3.18,3.3,1.12,1.6,39.01,1.67,0.44,1.31,2.06,"Meals, Entrees, and Sidedishes"
42,2022-07-25,"Pancake Syrup, Maple-Flavored, Sugar Free",1.00 tbsp,7.82,0.0,0.0,11.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.06,0.0,0.0,0.16,0.0,24.97,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,Sweets
43,2022-07-25,"Pancake, Plain or Buttermilk, Homemade","4.00 each - 4"" diameter",397.24,0.0,0.0,94.76,0.48,0.53,3.32,0.83,0.08,0.67,125.43,77.12,0.16,58.37,3.11,5.22,471.27,0.09,3.49,24.72,0.39,303.22,199.98,27.38,1224.03,1.0,53.06,1.68,41.66,9.92,51.38,15.68,88.17,3.73,6.21,4.62,0.17,0.69,5.42,0.2,0.27,0.48,0.88,0.54,0.26,0.57,11.06,0.4,0.14,0.42,0.57,Baked Products
44,2022-07-25,"Banquet, Spaghetti & Meatballs",1.00 package - each 10 oz,323.84,0.0,0.0,223.32,0.41,0.3,4.14,0.57,0.27,0.62,113.41,37.34,6.04,11.68,1.35,15.03,78.84,0.2,2.46,38.78,0.45,178.72,509.93,36.02,840.65,1.99,33.6,2.82,22.27,5.37,30.71,14.07,49.95,4.5,4.64,3.78,0.23,0.49,4.0,0.22,0.46,0.68,1.22,0.98,0.32,0.72,15.94,0.62,0.18,0.52,0.77,"Meals, Entrees, and Sidedishes"
45,2022-07-25,"Cheetos, Crunchy",1.00 oz,150.04,0.0,0.0,2.1,0.09,0.08,0.81,0.07,0.03,0.02,54.46,4.52,0.0,0.17,2.36,2.53,8.13,0.01,0.72,5.68,0.03,23.37,25.36,3.82,250.29,0.17,13.03,0.63,11.87,0.4,12.4,10.13,0.77,3.66,4.9,1.16,0.05,0.33,4.54,0.03,0.04,0.06,0.2,0.05,0.04,0.08,1.6,0.05,0.02,0.05,0.08,Snacks
46,2022-07-25,Peanut Butter and Jelly Sandwich,2.00 sandwich,813.12,0.0,0.0,56.68,0.74,0.45,14.14,1.38,0.39,0.0,265.28,0.0,3.52,0.0,6.14,0.43,212.16,0.43,5.64,136.72,1.72,339.6,539.12,29.82,873.44,2.52,101.13,6.88,46.88,32.92,93.94,36.9,0.0,17.34,9.95,7.45,0.08,0.22,9.2,0.33,0.57,0.73,1.64,0.73,0.33,1.23,24.98,0.62,0.26,0.81,0.9,Cereal Grains and Pasta
47,2022-07-26,"Cheese Sandwich, with Margarine",2.00 sandwich,605.36,0.0,0.0,74.06,0.61,0.47,5.42,0.94,0.14,1.26,198.24,266.6,0.0,252.84,0.92,3.33,1039.08,0.15,4.57,47.6,0.64,648.2,252.0,41.61,1952.44,2.92,59.37,3.02,41.63,8.25,56.31,29.53,84.0,7.59,2.88,15.95,0.99,0.34,1.94,0.26,0.65,1.1,2.04,1.54,0.55,1.22,25.14,0.91,0.3,1.03,1.37,"Meals, Entrees, and Sidedishes"
48,2022-07-26,"Quaker, Instant Oatmeal, Flavored",1.00 packet - prepared,159.96,0.0,0.0,120.13,0.37,0.34,4.0,0.2,0.4,0.0,165.98,300.14,0.0,0.0,0.19,0.86,103.74,0.12,3.6,41.17,1.24,100.19,114.81,9.2,274.78,0.85,33.0,3.1,16.21,13.0,29.9,2.3,0.0,0.83,0.69,0.43,0.0,0.03,0.59,0.15,0.1,0.16,0.33,0.2,0.07,0.22,4.27,0.12,0.07,0.15,0.23,Breakfast Cereals
49,2022-07-26,"McDonald's, Chicken McNuggets",6.00 nugget,254.86,0.0,0.0,52.17,0.13,0.11,5.82,0.46,0.27,0.14,27.62,3.66,0.0,2.03,1.86,11.34,15.88,0.05,1.07,18.6,0.11,112.57,126.73,17.94,495.18,0.69,14.68,0.7,13.73,0.12,13.97,15.19,34.43,5.63,6.65,2.13,0.09,0.79,5.79,0.2,0.43,0.72,1.08,1.1,0.38,0.58,14.2,0.58,0.16,0.47,0.69,Fast Foods
50,2022-07-26,"McDonald's, McChicken Sandwich",2.00 each,811.55,0.0,0.0,136.78,0.66,0.43,9.54,1.37,0.34,0.41,158.36,53.5,2.47,4.61,3.2,72.92,172.13,0.21,4.78,46.73,0.8,252.72,347.42,54.06,1120.83,2.17,76.37,3.26,60.07,8.6,73.08,42.43,58.04,11.91,21.58,6.85,0.26,2.53,18.88,0.46,0.75,1.29,2.02,1.63,0.65,1.22,28.93,1.02,0.33,0.88,1.3,Fast Foods
51,2022-07-26,"Banana, Fresh","2.00 medium - 7"" to 7 7/8"" long",210.04,0.0,0.0,176.79,0.07,0.17,1.57,0.79,0.87,0.0,47.2,7.57,20.53,0.0,0.31,1.18,11.8,0.18,0.61,63.72,0.64,51.92,844.88,2.36,2.36,0.35,53.9,6.14,12.7,28.86,47.75,0.78,0.0,0.08,0.17,0.26,0.0,0.06,0.11,0.02,0.18,0.07,0.16,0.12,0.02,0.12,2.57,0.07,0.02,0.02,0.11,Fruits and Fruit Juices
